z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TB,,,,,,,Malaria (p.falc),,,,,,,,,,,,,,,Malaria (p.vivax),,,,,,,,Malaria,HIV,,,,,,,,,,,,,RoundWorm,,,Hookworm,,Whipworm,,,Worms,,,,Schistosomiasis,,LF,,,Total,,,TB,,,,,,,Malaria (p.falc),,,,,,,,,,,,,,,,,,,Malaria (p.vivax),,,,,,,Malaria,HIV,,,,,,,,,,,,RoundWorm,,,Hookworm,,Whipworm,,,,,,Worms,Schistomasis,,Onchocerciasis,,LF,,,Total
Country,Impact of Active TB/HIV+ Treatment Regimen,Impact of Active TB/HIV- Treatment Regimen,Impact of MDR-TB Treatment Regimen,,,Impact of XDR-TB Treatment Regimen,Total Impact,Impact of AL,Impact of AS+SP,Impact of DHA-PPQ,Impact of AS+MQ,Impact of AS+AQ,Impact of CQ + PQ,Impact of DHA-PPQ + PQ,Impact of ART + NQ,Impact of ART + PPQ,Impact of AL + PQ,Impact of SP,Impact of AS + MQ + PQ,Impact of QN + CL,Impact of QN + D,Total Impact (p.falc),Impact of CQ+PQ,Impact of CQ,Impact of CQ + PG,Impact of AL,Impact of AL+PQ,Impact of AS + AQ,Impact of DHA-PPQ+PQ,Total Impact (p.vivax),Total Impact,Impact of 3TC,Impact of ABC,Impact of AZT,Impact of ddl,Impact of d4T,Impact of EFV,Impact of FTC,Impact of LPV/r,Impact of NVP,Impact of TDF,Impact of ATV/r,Impact of NFV,Total Impact,Alb,Mbd,Ivm+Alb,Alb,Mbd,Alb,Mbd,Ivm+Alb,Impact of Roundworm,Impact of Hookworm,Impact of Whipworm,Total Impact,PZQ,Total Impact,Impact of Single dose of DEC (6mg/kg)+ALB(400mg),Impact of Combination of ALB(400mg)+IVM(400ug/kg),Total Impact,,,Country,Impact of Active TB/HIV+ Treatment Regimen,Impact of Active TB/HIV- Treatment Regimen,Impact of MDR-TB Treatment Regimen,,,Impact of XDR-TB Treatment Regimen,Total Impact,AL,AL+PQ,AM,ART+NQ,ART+PPQ,AS+AQ,AS+MQ,AS+MQ+PQ,AS+SP,AS+SP+PQ,AT+PG,CQ+PQ,DHA-PPQ,DHA-PPQ+PQ,PQ,QN,QN+CL,QN+D,Total Impact (p.falc),CQ + PQ,CQ,DHA-PPQ,AL,AL + PQ,AS + AQ + PQ,Total Impact (p.vivax),Total Impact,Impact of 3TC,Impact of ABC,Impact of AZT,Impact of ddl,Impact of d4T,Impact of EFV,Impact of FTC,Impact of LPV/r,Impact of NVP,Impact of ATV/r,Impact of TDF,Total Impact,Alb,Mbd,Ivm+Alb,Alb,Mbd,Alb,Mbd,Ivm+Alb,Impact of Roundworm,Impact of Hookworm,Impact of Whipworm,Total Impact,PZQ,Total Impact,Impact of Ivermectin,Total Impact,Impact of Single dose of DEC (6mg/kg)+ALB(400mg),Impact of Combination of ALB(400mg)+IVM(400ug/kg),Total Impact,
Drug,"isoniazid (INH or H), rifampin (R or RMP), ethambutol (E or EMB), and pyrazinamide (Z or PZA).","isoniazid (INH or H), rifampin (R or RMP), ethambutol (E or EMB), and pyrazinamide (Z or PZA).",Z+S+Lfx+Eto+Cs+PAS,S+Lfx+Eto+Cs+PAS,Km+Lfx+Eto+Cs+PAS,Cs+ Km(or)Amk(or)Cm+Lfx(or)Mfx(or)Gfx(or)Ofx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drug,"isoniazid (INH or H), rifampin (R or RMP), ethambutol (E or EMB), and pyrazinamide (Z or PZA).","isoniazid (INH or H), rifampin (R or RMP), ethambutol (E or EMB), and pyrazinamide (Z or PZA).",Z+S+Lfx+Eto+Cs+PAS,S+Lfx+Eto+Cs+PAS,Km+Lfx+Eto+Cs+PAS,Cs+ Km(or)Amk(or)Cm+Lfx(or)Mfx(or)Gfx(or)Ofx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,"6,980,303.31","46,613,513.87","7,819.27","1,210.56","16,881.25","29,255.06","53,648,983.32","29,694,047.36","2,051,624.06","14,710.89","15,035.40","20,551,339.30",552.96,"8,118.56",38.50,43.63,818.22,0.55,0.35,"1,292.59","1,463.91","52,339,086.26","208,206.98","262,605.05",37.83,"53,210.30","1,379.07","4,212.31","6,785.20","536,436.73","52,875,522.99","1,210,432.27","16,508.81","503,417.77",51.80,"539,861.48","505,527.31","66,578.48","20,914.82","745,182.40","217,274.49","3,012.72",30.75,"3,828,793.10","200,577.94","1,233.50","62,661.27","12,564.85",116.47,"2,187.33",326.28,"3,883.77","264,472.70","12,681.32","6,397.37","283,551.39","190,933.46","190,933.46","2,893.19","1,180.65","4,073.84","163,170,944.37",,Total,"4,591,788.82","29,288,718.81",#REF!,"78,409.51","1,031,078.13","79,769.40",#REF!,"12,918,639.54","10,928.38","9,018.93",13.45,14.16,"9,265,515.67","15,857.37",3.86,"65,301.25","461,346.94",0.00,9.28,"20,715.41","12,905.08","8,273.23",5.64,"2,598.73","3,159.63","22,794,306.55","368,856.24","13,781.63","5,204.12",194.46,"6,626.21","1,944.29","396,606.95","23,190,913.50","705,813.73","61,623.01","313,686.77","1,751.29","9,003.45","430,899.93","141,919.54","83,658.47","326,973.41","7,714.35","479,363.67","2,562,407.63","206,402.09","9,004.29","150,195.68","24,366.12","3,360.12","4,234.88","2,275.63","7,242.96","365,602.05","27,726.24","13,753.46","407,081.75","114,408.21","114,408.21","2,790.64","2,790.64",490.78,"4,477.28","4,968.06","62,448,434.69"
Afghanistan,138.45,"547,006.04",0.00,0.00,0.00,104.64,"547,249.13",0.00,"4,001.12",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"4,001.12","39,109.15",0.00,0.00,0.00,0.00,0.00,0.00,"39,109.15","43,110.27",8.66,0.01,3.56,0.00,3.87,3.76,0.55,0.06,5.40,1.78,0.00,0.00,27.64, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"594,388.16",, Afghanistan,"22,260.51","141,988.63","9,791.58",140.22,"3,447.06",479.68,"178,107.68",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,719.98",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,719.98","32,635.44",0.00,0.00,0.00,0.00,0.00,"32,635.44","34,355.41",35.67,3.48,15.83,0.10,0.52,21.36,7.06,4.61,16.43,0.41,23.75,129.23, , , , , , , , ,0.00,0.00,0.00,0.00,,0.00,,0.00,,,0.00,"212,592.32"
Albania,0.00,"3,016.78",0.00,0.00,0.00,0.09,"3,016.88",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.19,0.17,0.40,0.00,0.63,0.37,0.00,0.13,0.67,0.00,0.00,0.00,3.55, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"3,020.43",, Albania,44.51,283.92,#REF!,0.21,3.05,0.49,#REF!,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, , , , , , , , ,0.00,0.00,0.00,0.00,,0.00,,0.00,,,0.00,0.00
Algeria,"16,740.65","85,692.45",7.28,1.13,16.12,71.82,"102,529.44",0.31,0.24,0.31,0.31,0.26,0.10,0.25,0.25,0.29,0.25,0.10,0.30,0.25,0.28,3.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.48,949.83,6.70,388.96,0.00,428.46,399.90,55.63,10.09,594.47,181.33,0.00,0.00,"3,015.36", , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"105,551.77",, Algeria,"6,981.88","44,533.92","1,157.23",15.83,199.95,49.23,"52,938.04",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,186.17,3.71,70.80,0.09,0.46,140.01,49.13,15.75,77.09,2.51,164.99,710.73, , , , , , , , ,0.00,0.00,0.00,0.00,,0.00,,0.00,,,0.00,"53,648.77"
American Samoa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,0.00,, American Samoa,3.73,23.81,0.00,0.00,0.00,0.00,27.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, , , , , , , , ,0.00,0.00,0.00,0.00,,0.00,,0.00,,,0.00,27.54
Andorra,0.00,31.80,0.00,0.00,0.00,0.02,31.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,31.82,, Andorra,1.09,6.95,0.00,0.00,0.00,0.01,8.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.00,0.07,0.00,0.00,0.14,0.05,0.01,0.07,0.00,0.17,0.69, , , , , , , , ,0.00,0.00,0.00,0.00,,0.00,,0.00,,,0.00,8.74
Angola,"136,855.46","105,142.66",0.72,0.11,1.64,202.88,"242,203.47","1,703.58",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,703.58",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,703.58","14,997.10",193.33,"6,101.19",0.00,"6,808.11","6,229.02",835.96,222.29,"9,352.68","2,730.42",0.00,0.00,"47,470.11", , , , , , , , ,  -   ,  -   ,  -   ,  -   ,  604.54 ,  604.54 ,,  -   ,  -   ,"293,685.28",, Angola,"38,591.04","246,152.91",0.00,0.00,0.00,0.00,"284,743.95","253,448.86",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"253,448.86",0.00,0.00,0.00,0.00,0.00,0.00,0.00,"253,448.86","1,085.33",84.82,466.43,2.46,12.55,689.47,232.40,128.13,489.16,13.09,780.41,"3,984.25", , , , , , , , ,0.00,0.00,0.00,0.00,  192.22 ,192.22,1.25,1.25,,  84.67 ,84.67,"542,455.19"
Anguilla,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,0.00,, Anguilla,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, , , , , , , , ,0.00,0.00,0.00,0.00,,0.00,,0.00,,,0.00,0.00
